,Month,Day,Day Of Week,Airline,Origin Airport Delay Rate,Destination Airport Delay Rate,Scheduled Time,Distance,Scheduled Departure Hour,Scheduled Departure Minute,Arrival Delay
0,1,2,5,WN,0.0,0.0,225,1390,8,55,-13.0
1,1,4,7,AA,0.0,0.5909090909090909,172,1096,8,30,-12.0
2,1,4,7,US,0.0,0.0,46,130,0,30,189.0
3,1,3,6,WN,0.0,0.0,160,925,9,25,-7.0
4,1,5,1,EV,0.6333333333333333,0.0,69,113,5,46,-4.0
5,1,2,5,EV,0.0,0.0,142,721,9,7,3.0
6,1,4,7,WN,0.0,0.0,80,436,13,25,12.0
7,1,2,5,AS,0.0,0.0,240,1533,13,35,-1.0
8,1,3,6,AA,0.0,0.51004702864472,192,1121,13,35,4.0
9,1,5,1,UA,0.6091626479614204,0.0,115,723,14,14,2.0
10,1,1,4,MQ,0.5535870516185477,0.0,128,812,18,10,23.0
11,1,2,5,EV,0.5535870516185477,0.0,121,731,20,15,11.0
12,1,4,7,AA,0.0,0.51004702864472,195,1119,7,45,-7.0
13,1,4,7,DL,0.5182724252491694,0.0,167,760,18,15,101.0
14,1,6,2,AA,0.0,0.5669613974552512,200,1182,10,30,3.0
15,1,6,2,WN,0.0,0.0,260,1411,12,50,11.0
16,1,3,6,AA,0.5535870516185477,0.5135135135135135,140,769,17,20,48.0
17,1,3,6,US,0.0,0.0,401,2860,11,35,0.0
18,1,5,1,EV,0.5356359649122807,0.68,65,332,13,50,21.0
19,1,4,7,AA,0.0,0.0,200,1242,12,20,30.0
20,1,3,6,AA,0.0,0.51004702864472,275,1562,9,25,-23.0
21,1,5,1,AA,0.5535870516185477,0.0,145,986,20,50,38.0
22,1,3,6,DL,0.5576923076923077,0.0,88,317,6,55,-7.0
23,1,4,7,EV,0.0,0.0,61,240,9,59,-3.0
24,1,3,6,OO,0.0,0.5609756097560976,103,463,19,55,63.0
25,1,2,5,EV,0.0,0.0,106,489,10,58,-4.0
26,1,4,7,WN,0.0,0.0,80,368,14,25,-7.0
27,1,1,4,WN,0.0,0.0,85,446,18,45,6.0
28,1,3,6,AS,0.0,0.0,119,697,12,0,9.0
29,1,3,6,US,0.0,0.0,206,1262,14,30,-20.0
30,1,2,5,AA,0.0,0.0,161,1045,11,5,24.0
31,1,5,1,AS,0.0,0.0,165,978,12,20,1.0
32,1,2,5,MQ,0.0,0.0,144,802,19,50,-14.0
33,1,1,4,UA,0.0,0.0,155,854,7,47,-5.0
34,1,1,4,DL,0.0,0.0,194,1428,17,30,14.0
35,1,2,5,MQ,0.5535870516185477,0.5392156862745098,73,364,13,15,32.0
36,1,5,1,EV,0.5259433962264151,0.0,76,299,19,49,-14.0
37,1,4,7,OO,0.0,0.0,91,521,11,5,-2.0
38,1,3,6,NK,0.5535870516185477,0.0,201,1235,7,15,4.0
39,1,2,5,AA,0.0,0.0,74,192,17,5,-7.0
40,1,6,2,EV,0.0,0.5669613974552512,60,173,6,0,47.0
41,1,1,4,DL,0.0,0.0,100,453,7,5,-32.0
42,1,5,1,OO,0.0,0.0,84,347,12,30,-5.0
43,1,6,2,WN,0.0,0.0,95,549,14,0,43.0
44,1,1,4,OO,0.0,0.0,90,373,16,25,21.0
45,1,4,7,B6,0.0,0.0,188,1237,13,42,5.0
46,1,2,5,EV,0.0,0.0,95,374,7,55,8.0
47,1,2,5,B6,0.5909090909090909,0.0,93,266,15,27,-7.0
48,1,7,3,DL,0.0,0.0,105,507,8,30,-5.0
49,1,2,5,WN,0.0,0.0,155,925,19,40,13.0
50,1,4,7,DL,0.0,0.0,64,152,15,35,-8.0
51,1,4,7,OO,0.0,0.5013150973172015,65,230,12,40,3.0
52,1,6,2,EV,0.6024960169941582,0.0,149,1048,10,57,1.0
53,1,3,6,DL,0.0,0.0,172,991,19,15,14.0
54,1,7,3,MQ,0.5454545454545454,0.51004702864472,143,690,7,2,8.0
55,1,6,2,WN,0.0,0.0,145,829,10,5,3.0
56,1,5,1,HA,0.0,0.0,32,102,22,56,-3.0
57,1,1,4,AA,0.5414123801220575,0.51004702864472,240,1303,18,25,15.0
58,1,5,1,WN,0.0,0.0,60,328,18,30,9.0
59,1,7,3,B6,0.0,0.0,242,1598,6,2,32.0
60,1,7,3,DL,0.0,0.0,219,1276,9,0,-35.0
61,1,2,5,US,0.5414123801220575,0.51004702864472,231,1303,16,10,5.0
62,1,2,5,EV,0.5444444444444444,0.0,97,476,14,25,-23.0
63,1,5,1,MQ,0.5671476137624861,0.0,143,764,7,50,15.0
64,1,2,5,AS,0.0,0.0,249,1533,23,10,17.0
65,1,5,1,OO,0.0,0.0,199,1187,6,5,-41.0
66,1,1,4,WN,0.0,0.0,60,159,14,55,-14.0
67,1,5,1,UA,0.5260416666666666,0.5013150973172015,188,1015,9,17,9.0
68,1,6,2,US,0.0,0.0,143,912,6,10,-18.0
69,1,6,2,US,0.0,0.0,161,808,9,44,1.0
70,1,2,5,WN,0.5259433962264151,0.0,135,829,13,25,15.0
71,1,5,1,WN,0.0,0.0,145,704,6,35,-14.0
72,1,6,2,DL,0.0,0.0,222,1416,15,46,-3.0
73,1,5,1,DL,0.0,0.0,192,1399,0,55,-14.0
74,1,2,5,EV,0.5356359649122807,0.0,200,1075,14,34,2.0
75,1,1,4,WN,0.0,0.0,185,1363,8,55,-6.0
76,1,5,1,UA,0.6024960169941582,0.0,180,1024,19,13,25.0
77,1,6,2,MQ,0.6944444444444444,0.51004702864472,152,691,6,2,202.0
78,1,4,7,DL,0.0,0.0,349,2239,19,56,39.0
79,1,5,1,EV,0.0,0.0,78,300,7,40,-8.0
80,1,1,4,OO,0.0,0.0,70,266,7,15,3.0
81,1,1,4,AA,0.0,0.0,80,337,12,15,3.0
82,1,1,4,MQ,0.0,0.5669613974552512,90,265,8,30,-16.0
83,1,3,6,UA,0.0,0.5669613974552512,93,315,15,30,75.0
84,1,5,1,AA,0.0,0.0,117,594,8,15,1.0
85,1,4,7,DL,0.5681016231474947,0.0,118,591,13,45,76.0
86,1,2,5,F9,0.5444444444444444,0.5013150973172015,177,977,6,5,11.0
87,1,4,7,WN,0.0,0.0,85,486,15,45,-5.0
88,1,4,7,AA,0.5444444444444444,0.51004702864472,155,761,7,5,-12.0
89,1,7,3,DL,0.0,0.0,129,547,6,59,-5.0
90,1,2,5,WN,0.0,0.0,60,272,8,40,4.0
91,1,1,4,WN,0.0,0.5013150973172015,110,533,20,25,47.0
92,1,3,6,US,0.6024960169941582,0.0,130,602,8,5,5.0
93,1,4,7,WN,0.0,0.5013150973172015,115,628,5,55,-22.0
94,1,5,1,US,0.0,0.0,121,742,10,45,-4.0
95,1,1,4,EV,0.5671476137624861,0.0,110,419,17,30,-18.0
96,1,2,5,DL,0.0,0.0,86,406,17,35,-5.0
97,1,2,5,UA,0.6024960169941582,0.0,151,862,22,4,20.0
98,1,5,1,OO,0.0,0.0,137,695,10,8,11.0
99,1,1,4,OO,0.0,0.0,108,522,12,9,7.0
100,1,4,7,DL,0.0,0.0,217,1599,15,15,71.0
101,1,6,2,AS,0.0,0.0,350,2701,14,15,-27.0
102,1,5,1,DL,0.0,0.0,312,2486,23,37,-24.0
103,1,2,5,B6,0.0,0.0,84,413,9,38,-7.0
104,1,1,4,WN,0.5681016231474947,0.0,115,583,17,45,15.0
105,1,5,1,WN,0.0,0.0,145,806,9,20,-6.0
106,1,7,3,WN,0.0,0.0,215,1209,10,55,15.0
107,1,3,6,B6,0.0,0.0,162,1069,8,18,9.0
108,1,2,5,WN,0.5259433962264151,0.0,75,283,18,40,-17.0
109,1,6,2,EV,0.0,0.0,69,302,6,15,-1.0
110,1,1,4,AS,0.0,0.0,360,2520,18,15,-1.0
111,1,3,6,WN,0.0,0.0,90,472,19,50,62.0
112,1,3,6,DL,0.5356359649122807,0.0,189,1127,10,0,2.0
113,1,6,2,OO,0.6091626479614204,0.5609756097560976,70,222,10,10,6.0
114,1,5,1,MQ,0.5671476137624861,0.0,113,502,6,30,-4.0
115,1,2,5,EV,0.5356359649122807,0.0,127,625,19,55,-12.0
116,1,2,5,EV,0.0,0.0,81,341,16,31,15.0
117,1,6,2,WN,0.5681016231474947,0.0,65,271,21,40,45.0
